User,Bot,formatted
are there abnormalities seen in the lungs?,yes,"User: are there abnormalities seen in the lungs? 
Bot: yes
"
where is the largest air collection in this image?,right lung base,"User: where is the largest air collection in this image? 
Bot: right lung base
"
on what side of the body is there pathology?,right sided pleural effusion,"User: on what side of the body is there pathology? 
Bot: right sided pleural effusion
"
is there evidence of calcification in the pancreas?,no,"User: is there evidence of calcification in the pancreas? 
Bot: no
"
what is the shape of the mass?,elliptical,"User: what is the shape of the mass? 
Bot: elliptical
"
was this image taken without motion artifact,yes,"User: was this image taken without motion artifact 
Bot: yes
"
is the liver parenchyma homogenous and normal?,yes,"User: is the liver parenchyma homogenous and normal? 
Bot: yes
"
is the bowel dilated?,yes,"User: is the bowel dilated? 
Bot: yes
"
will medical therapy be enough?,yes,"User: will medical therapy be enough? 
Bot: yes
"
what type of radiograph is this?,chest radiograph,"User: what type of radiograph is this? 
Bot: chest radiograph
"
what is the small mass near the left kidney?,splenule,"User: what is the small mass near the left kidney? 
Bot: splenule
"
is the descending aortic silhouette of normal size?,yes,"User: is the descending aortic silhouette of normal size? 
Bot: yes
"
is the stomach dilated?,no,"User: is the stomach dilated? 
Bot: no
"
is the celiac trunk able to be visualized in this patient and is it open?,yes,"User: is the celiac trunk able to be visualized in this patient and is it open? 
Bot: yes
"
"on what side of the body is there pathology, and what is it?",right sided pleural effusion,"User: on what side of the body is there pathology, and what is it? 
Bot: right sided pleural effusion
"
are the costophrenic angles blunted?,no,"User: are the costophrenic angles blunted? 
Bot: no
"
is there fat stranding?,yes,"User: is there fat stranding? 
Bot: yes
"
which vessel is infarcted in this image?,right pica,"User: which vessel is infarcted in this image? 
Bot: right pica
"
is the trachea deviated to the right or left?,left,"User: is the trachea deviated to the right or left? 
Bot: left
"
the azygoesophageal recess is deviated in which direction?,right,"User: the azygoesophageal recess is deviated in which direction? 
Bot: right
"
is the trachea normal?,yes,"User: is the trachea normal? 
Bot: yes
"
does the heart look enlarged?,no,"User: does the heart look enlarged? 
Bot: no
"
is the descending aortic silhouette of normal contour and size?,yes,"User: is the descending aortic silhouette of normal contour and size? 
Bot: yes
"
what is this mass primarily made of?,fat,"User: what is this mass primarily made of? 
Bot: fat
"
can you appreciate hemorrhage in this image?,yes,"User: can you appreciate hemorrhage in this image? 
Bot: yes
"
can this plane detect an aortic aneurysm 	if present?,yes,"User: can this plane detect an aortic aneurysm 	if present? 
Bot: yes
"
where is the abnormality?,left temporal lobe,"User: where is the abnormality? 
Bot: left temporal lobe
"
how would you describe the lesion?,ring-enhancing,"User: how would you describe the lesion? 
Bot: ring-enhancing
"
in what lobe of the brain is the lesion located?,right temporal lobe,"User: in what lobe of the brain is the lesion located? 
Bot: right temporal lobe
"
what are the dark areas at the top of the picture?,large bowel,"User: what are the dark areas at the top of the picture? 
Bot: large bowel
"
what is the location of the abnormality?,right lung,"User: what is the location of the abnormality? 
Bot: right lung
"
is this image underexposed?,yes,"User: is this image underexposed? 
Bot: yes
"
is there cardiomegaly?,yes,"User: is there cardiomegaly? 
Bot: yes
"
is this a pa or ap film?,pa,"User: is this a pa or ap film? 
Bot: pa
"
is there free air under the diaphragm?,no,"User: is there free air under the diaphragm? 
Bot: no
"
is there deviation in the trachea?,no,"User: is there deviation in the trachea? 
Bot: no
"
what lung pathology is this image concerning for?,pneumonia,"User: what lung pathology is this image concerning for? 
Bot: pneumonia
"
where is the abnormality?,right side of the trachea,"User: where is the abnormality? 
Bot: right side of the trachea
"
what is the characterization of the lesion,ring enhancing lesion,"User: what is the characterization of the lesion 
Bot: ring enhancing lesion
"
what is the lesion in this image?,ring-enhancing lesion,"User: what is the lesion in this image? 
Bot: ring-enhancing lesion
"
is the jejunal wall enlarged?,yes,"User: is the jejunal wall enlarged? 
Bot: yes
"
where is the abnormal finding?,right colon,"User: where is the abnormal finding? 
Bot: right colon
"
is there any shift of midline structures visible in this section?,no,"User: is there any shift of midline structures visible in this section? 
Bot: no
"
what is represented by the black parts of the image within the large intestine?,air,"User: what is represented by the black parts of the image within the large intestine? 
Bot: air
"
is there presence of any costophrenic angle blunting?,no,"User: is there presence of any costophrenic angle blunting? 
Bot: no
"
is there a shift of midline structures?,yes,"User: is there a shift of midline structures? 
Bot: yes
"
is the heart border normal?,no,"User: is the heart border normal? 
Bot: no
"
what imaging modality is used to acquire this picture?,pa xray,"User: what imaging modality is used to acquire this picture? 
Bot: pa xray
"
what is the pathology,left lobe mass 1.5 x 1.8 cm,"User: what is the pathology 
Bot: left lobe mass 1.5 x 1.8 cm
"
does this represent infectious process?,yes,"User: does this represent infectious process? 
Bot: yes
"
is this lesion ring enhancing?,yes,"User: is this lesion ring enhancing? 
Bot: yes
"
where is the aorta located relative to the midline?,left,"User: where is the aorta located relative to the midline? 
Bot: left
"
is the heart enlarged?,no,"User: is the heart enlarged? 
Bot: no
"
is there a shift of midline structures?,no,"User: is there a shift of midline structures? 
Bot: no
"
does the image show pericolonic fat stranding?,yes,"User: does the image show pericolonic fat stranding? 
Bot: yes
"
which side of the cerebellum contains the largest mass?,right,"User: which side of the cerebellum contains the largest mass? 
Bot: right
"
what lung are the pulmonary nodules in?,bilateral lungs,"User: what lung are the pulmonary nodules in? 
Bot: bilateral lungs
"
is there a pleural effusion present?,no,"User: is there a pleural effusion present? 
Bot: no
"
is the image normal?,no,"User: is the image normal? 
Bot: no
"
is this in the lumbar vertebral level?,yes,"User: is this in the lumbar vertebral level? 
Bot: yes
"
what type of mri is this?,dwi,"User: what type of mri is this? 
Bot: dwi
"
is there evidence of subcutaneous air collection?,no,"User: is there evidence of subcutaneous air collection? 
Bot: no
"
is there pleural thickening in the r lung?,yes,"User: is there pleural thickening in the r lung? 
Bot: yes
"
what level of the spine is most likely seen here?,l2-3,"User: what level of the spine is most likely seen here? 
Bot: l2-3
"
is this a contrast enhanced image?,yes,"User: is this a contrast enhanced image? 
Bot: yes
"
is the aorta in view?,yes,"User: is the aorta in view? 
Bot: yes
"
what are the densities in both mid-lung fields?,pleural plaques,"User: what are the densities in both mid-lung fields? 
Bot: pleural plaques
"
are the kidneys normal?,yes,"User: are the kidneys normal? 
Bot: yes
"
what is the signal intensity of the lesion?,mixed intensity,"User: what is the signal intensity of the lesion? 
Bot: mixed intensity
"
are the opacities confined to one lung lobe?,no,"User: are the opacities confined to one lung lobe? 
Bot: no
"
what type of image is this?,chest x-ray,"User: what type of image is this? 
Bot: chest x-ray
"
is there a fracture on the left 5th rib?,no,"User: is there a fracture on the left 5th rib? 
Bot: no
"
which side is the pneumothorax on?,right side,"User: which side is the pneumothorax on? 
Bot: right side
"
is this image of a saggital plane?,no,"User: is this image of a saggital plane? 
Bot: no
"
are there fractures on the skull?,no,"User: are there fractures on the skull? 
Bot: no
"
what is the mri modality depicted in this image?,flair,"User: what is the mri modality depicted in this image? 
Bot: flair
"
in what plane is the above image?,axial,"User: in what plane is the above image? 
Bot: axial
"
is there free air under the diaphragm?,no,"User: is there free air under the diaphragm? 
Bot: no
"
is there evidence of enhancement?,yes,"User: is there evidence of enhancement? 
Bot: yes
"
what is the lesion most likely to be?,abscess,"User: what is the lesion most likely to be? 
Bot: abscess
"
how do you identify small bowel?,plicae circulares,"User: how do you identify small bowel? 
Bot: plicae circulares
"
how do you know if contrast was used?,enhancement of vessels,"User: how do you know if contrast was used? 
Bot: enhancement of vessels
"
is there midline shift?,yes,"User: is there midline shift? 
Bot: yes
"
is the mass heterogeneous or homogeneous in appearance?,heterogeneous,"User: is the mass heterogeneous or homogeneous in appearance? 
Bot: heterogeneous
"
was the patient given iv contrast?,yes,"User: was the patient given iv contrast? 
Bot: yes
"
what type of distributions is seen on this image?,micronodular,"User: what type of distributions is seen on this image? 
Bot: micronodular
"
what area of the brain is edematous?,basal ganglia,"User: what area of the brain is edematous? 
Bot: basal ganglia
"
is the transverse colon in view?,yes,"User: is the transverse colon in view? 
Bot: yes
"
is there enhancement of the lesion?,no,"User: is there enhancement of the lesion? 
Bot: no
"
is the appendix seen in this image ruptured?,no,"User: is the appendix seen in this image ruptured? 
Bot: no
"
is the lesion seen in the gray or white matter?,white matter,"User: is the lesion seen in the gray or white matter? 
Bot: white matter
"
in what plane is this image taken?,axial,"User: in what plane is this image taken? 
Bot: axial
"
what radiographic sign is seen in the intestines,air fluid level,"User: what radiographic sign is seen in the intestines 
Bot: air fluid level
"
what indicates there is a consolidation in the right lung?,"blunting of the costophrenic angle, loss of the right hemidiaphragm and right heart border","User: what indicates there is a consolidation in the right lung? 
Bot: blunting of the costophrenic angle, loss of the right hemidiaphragm and right heart border
"
